1789981670,378323394,body,-2.9397728978352775e-26,-8.881784197001211e-15,8.593610345434866e-22,-4.440891427488055e-14,4.440892716573696e-14,4.4408920985012964e-14
1789981670,384267149,body,-5.887828835366191e-26,-1.7763568394002423e-14,1.7187220454211497e-21,-2.6645338791282556e-14,1.7763581664373505e-14,9.325873535756069e-14
1789981670,390261167,body,-5.894928583532263e-26,-1.7763568394002423e-14,1.718722041476849e-21,-4.4408810265233814e-15,1.2130791541819741e-20,7.993605841751435e-14
1789981670,396345515,body,0.0,0.0,0.0,-1.1102218057931557e-14,-2.220434390258501e-15,8.215650575583026e-14
1789981670,402406076,body,-8.863692119710739e-26,-2.6645352591003634e-14,2.578083056298827e-21,6.661349426830158e-15,-6.661326868670841e-15,7.771561172375957e-14
1789981670,408511631,body,-1.4788597417765435e-25,-4.4408920985006053e-14,4.296805064249102e-21,-1.3322666247868127e-14,1.0577096693460442e-20,7.105427550956271e-14
1789981670,414520946,body,1.7763568393765537e-14,-7.105427357606908e-14,5.1561661126034096e-21,-1.776355717258539e-14,-2.6645341898759394e-14,7.549517211972469e-14
1789981670,420687105,body,-2.3728020184310606e-25,-7.105427357600969e-14,6.874887881917542e-21,-4.4408905136907415e-14,-4.4408904607066514e-14,1.1102231535292021e-13
1789981670,426798699,body,1.7763568393735216e-14,-7.993605777307044e-14,6.015526644248121e-21,-5.329069524974266e-14,-4.88498036801254e-14,6.661339630149312e-14
1789981670,432842300,body,1.7763568393705003e-14,-8.881784197007176e-14,6.874887420439705e-21,-3.7747565492857316e-14,-1.9983997627961538e-14,1.1768364898904213e-13
1789981670,439009509,body,-2.679341918175075e-25,-7.993605777301089e-14,7.734248529919245e-21,6.661346963917455e-15,2.2204559241626014e-15,6.439293413920023e-14
1789981670,444968715,body,-2.3823472354147656e-25,-7.105427357600969e-14,6.874887574261836e-21,-2.2204431489180316e-15,-2.2204431488958938e-15,1.9984015087773174e-14
1789981670,450821480,body,-2.382583893732128e-25,-7.105427357600969e-14,6.874887487487136e-21,-2.4424905574960907e-14,2.220447016154593e-15,6.6613413703546474e-15
1789981670,457053761,body,-2.0850370083858675e-25,-6.217248937900848e-14,6.015526399695521e-21,-4.884981152983409e-14,-1.3322675270911652e-14,8.881793220299615e-15
1789981670,465980097,body,-1.7871154140771888e-25,-5.329070518200727e-14,5.156165420372279e-21,-2.4424907128722557e-14,-2.220446106689569e-15,-2.2204421821337976e-15
